SMILES,logSolubility,inchi_key
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,XUCIJNAGGSZNQT-UHFFFAOYSA-N
Cc1occc1C(=O)Nc1ccccc1,-3.3,JFSPBVWPKOEZCB-UHFFFAOYSA-N
CC(C)=CCCC(C)=CC=O,-2.06,WTEVQBCEXWBHNA-UHFFFAOYSA-N
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,GBROPGWFBFCKAG-UHFFFAOYSA-N
c1ccsc1,-1.33,YTPLMLYBLZKORZ-UHFFFAOYSA-N
c1ccc2scnc2c1,-1.5,IOJUPLGTWVMSFF-UHFFFAOYSA-N
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,MTCPZNVSDFCBBE-UHFFFAOYSA-N
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,VOXZDWNPVJITMN-UHFFFAOYSA-N
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,DFBKLUNHFCTMDC-UHFFFAOYSA-N
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,JUVIOZPCNVVQFO-UHFFFAOYSA-N
O=C1CCCN1,1.07,HNJBEVLQSNELDL-UHFFFAOYSA-N
Clc1ccc2ccccc2c1,-4.14,CGYGETOMCSJHJU-UHFFFAOYSA-N
C=CCCC,-2.68,YWAKXRMUMFPDSH-UHFFFAOYSA-N
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,DQMZLTXERSFNPB-UHFFFAOYSA-N
CCCCCCCCCCCCCC,-7.96,BGHCVCJVXZWKCC-UHFFFAOYSA-N
CCC(C)CO,-0.47,QPRQEDXDYOZYLA-UHFFFAOYSA-N
N#Cc1ccccc1,-1.0,JFDZBHWFFUWGJE-UHFFFAOYSA-N
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,FHIVAFMUCKRCQO-UHFFFAOYSA-N
CCCCCCCCCC(C)O,-2.94,XMUJIPOFTAHSOK-UHFFFAOYSA-N
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,CXKIGWXPPVZSQK-UHFFFAOYSA-N
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.594,ZTMKADLOSYKWCA-UHFFFAOYSA-N
CCOP(=S)(OCC)SCSCC,-4.11,BULVZWIRKLYCBC-UHFFFAOYSA-N
CCOc1ccc(NC(C)=O)cc1,-2.35,CPJSUEIXXCENMM-UHFFFAOYSA-N
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,OFDYMSKSGFSLLM-UHFFFAOYSA-N
CCCCCCCO,-1.81,BBMCTIGTTCKYKF-UHFFFAOYSA-N
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,STDBAQMTJLUMFW-UHFFFAOYSA-N
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,UCNVFOCBFJOQAL-UHFFFAOYSA-N
