SMILES,inchi_key,rf_logSolubility
CCCOC(=O)OCCC(=O)OO,AALFLNGIUXXXPV-UHFFFAOYSA-N,-1.19083
COOC(=O)COCC(O)CO,AAQLOBLFXDIDSM-UHFFFAOYSA-N,-1.05671
CCOC(O)OC(=O)OOC,ABYLMVPNNCULHX-UHFFFAOYSA-N,-0.85639
CCSCCOC(=O)OCO,ACXCJPNIUMOYQO-UHFFFAOYSA-N,-1.3770966666666666
CCCCOC(O)OCC(=O)OO,ADHWANDLJKTZAB-UHFFFAOYSA-N,-1.2711700000000001
CCCSC(=O)OOCC(=O)ONOC(O)OC,ADXLFKIWTTVFBQ-UHFFFAOYSA-N,-1.27453
CCC(O)OCC(C)NC(=O)OO,AHBQXIDDDYVQIZ-UHFFFAOYSA-N,-0.7955300000000003
O=C(OC=CO)OOC(=O)OOOC(=O)OCO,AIXPAKFVCNHWNW-UHFFFAOYSA-N,-1.0427700000000002
CCC(=O)OOCOC(=O)OOC(Cl)NC(=O)OOC,AJPDMLMEVQLYHZ-UHFFFAOYSA-N,-1.5316900000000009
CCOC(=O)OCOC(O)OC(=O)OO,AKWXKTVVRBRRPS-UHFFFAOYSA-N,-0.7401766666666668
O=C(OCCCO)OOO,ALCLMESLFFOFBV-UHFFFAOYSA-N,-0.6526999999999998
O=C(COC(O)CI)OO,AOVFTUQIYPFWMY-UHFFFAOYSA-N,-0.8718400000000002
CCC(C)C(O)OCN(C)C(=O)OCOC(=O)OC,AOXSUFSNWUQPBQ-UHFFFAOYSA-N,-1.73781
CC(CO)OC(=O)OCO,APFCQFFDKRVWTK-UHFFFAOYSA-N,-0.8766699999999997
O=C(COC(O)CP)OO,AQZBRVPGYQUYME-UHFFFAOYSA-N,-0.6241199999999999
CCOCO[PH](=O)OOO,ASVCPLUNAANVNK-UHFFFAOYSA-N,-0.5457766666666669
CCOC(=O)OCC(O)OC(=O)OO,AXYIAPDMSQDZLU-UHFFFAOYSA-N,-0.9316928571428568
CCS(=O)OCOC(=O)OCO,AZMOTLATBBJMGX-UHFFFAOYSA-N,-1.0974899999999999
CC(OC(=O)OCO)OC(O)COC(O)O,AZOOYDIOVAAYPA-UHFFFAOYSA-N,-1.04991
O=C(COC(O)COC(O)OCCO)OCO,BALDDBQLRREWKQ-UHFFFAOYSA-N,-0.8996500000000002
CCCCOC(=O)OCCO,BBICCUCUFBZEAY-UHFFFAOYSA-N,-1.0148100000000004
CN(C)OC(=O)NC(=O)OO,BFNSOOHSVCYGHF-UHFFFAOYSA-N,-1.0737766666666666
