SMILES,lipo,inchi_key
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,3.54,YKMSTUDOGGAEJH-UHFFFAOYSA-N
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,-1.18,JCIHGZJEMNHEET-UHFFFAOYSA-N
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,3.69,GKTWGGQPFAXNFI-UHFFFAOYSA-N
O=C(NC1Cc2ccccc2N(CC(O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,3.37,UICNBXVDHCBKCE-UHFFFAOYSA-N
Cc1cccc(CC(NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,3.1,UJBBWPQMJVUYPP-UHFFFAOYSA-N
OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,3.14,MWHQFRXYYJSIFR-UHFFFAOYSA-N
COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,-0.72,PXTMNXYTOSYHIH-UHFFFAOYSA-N
CNc1cccc(CCOc2ccc(CC(NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,AYXKDCNGRBXXLP-UHFFFAOYSA-N
COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,3.05,PVVORTURQPBPEQ-UHFFFAOYSA-N
Oc1ncnc2scc(-c3ccsc3)c12,2.25,DUKSWLVZNWKJAU-UHFFFAOYSA-N
CS(=O)(=O)c1ccc(Oc2ccc(C#CC3(O)CN4CCC3CC4)cc2)cc1,1.51,SBZWCADMWCTYJD-UHFFFAOYSA-N
Cc1cc(Nc2nc(NC(C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,2.61,FLYNZEXUURBXAW-UHFFFAOYSA-N
O=C1CCCCCN1,-0.08,JBKVHLHDHHXQEQ-UHFFFAOYSA-N
CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,1.95,VPMVCCJNDYXJJG-UHFFFAOYSA-N
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)cnn2-c2ccccc2)cc1,1.34,AYPVPRGQTUGNOF-UHFFFAOYSA-N
Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,3.2,KYQOWAHXMWGEJG-UHFFFAOYSA-N
COc1ccc(N2CCN(C(=O)C3CCCCC3C(=O)NCC#N)CC2)cc1,1.6,SPWKCUOJASZCNG-UHFFFAOYSA-N
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,3.77,LORDFXWUHHSAQU-UHFFFAOYSA-N
COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CCC(O)C1,3.15,AEMKVXCCHGLFJH-UHFFFAOYSA-N
COC1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CCC1NCc1ccc2c(n1)NC(=O)CO2,0.32,XCLSBAOOCPECMX-UHFFFAOYSA-N
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,2.92,SAGQYGYKRVWICY-UHFFFAOYSA-N
O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,1.92,PWQXCYLQJXYHMK-UHFFFAOYSA-N
COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,3.17,ZUHDMPDIHXIVMC-UHFFFAOYSA-N
O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,2.17,SUHCNXHLKUQVER-UHFFFAOYSA-N
CNCCC(Oc1ccccc1C)c1ccccc1,1.2,VHGCDTVCOLNTBX-UHFFFAOYSA-N
O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.93,PFUAWQGDUFOVII-UHFFFAOYSA-N
COc1cnc(-c2ccccn2)nc1N(C)C,1.9,HHWOVFWQFLUAJI-UHFFFAOYSA-N
c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,2.27,FNIDRCPXJSYPFT-UHFFFAOYSA-N
CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.2,LZRZLRDYRGYENN-UHFFFAOYSA-N
CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1,1.14,XZXICFZJBPQSLC-UHFFFAOYSA-N
CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,2.6,FMYZLWZNPIWZKB-UHFFFAOYSA-N
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1F,3.3,IFGKACWCWSTXBV-UHFFFAOYSA-N
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.94,RJKFOVLPORLFTN-UHFFFAOYSA-N
CS(=O)(=O)c1ccccc1C(=O)NCC(O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,2.34,JMGBVGDZPLNFAE-UHFFFAOYSA-N
N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,2.57,SPHCZZBTYLIKMU-UHFFFAOYSA-N
CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,NTPXQERXVNATPJ-UHFFFAOYSA-N
Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.06,CKXJLNSNPZFRGR-UHFFFAOYSA-N
Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.33,LTQJNQDKHOMARK-UHFFFAOYSA-N
COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,2.55,NKXJSCXEAVZSMF-UHFFFAOYSA-N
CNC(=O)C1(N2CCCCC2=O)CCN(CCC(CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,2.78,OJNYEFLQZAKWEW-UHFFFAOYSA-N
O=C1Nc2ccccc2B(O)N1c1ccccc1,1.4,NWEVGXOPORMXMR-UHFFFAOYSA-N
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-0.54,UVTNFZQICZKOEM-UHFFFAOYSA-N
N#CN=C(N)c1sc(Nc2ccccc2)nc1N,2.91,OCAIUSXYDOHYOK-UHFFFAOYSA-N
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)C(=O)O)c(C)c1,-0.4,UTDANZPJNOWLLZ-UHFFFAOYSA-N
N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-0.16,HKAAVWSTGFVPGS-UHFFFAOYSA-N
COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(OCCO)CC3)c2=O)cn1,2.2,XDLYKKIQACFMJG-UHFFFAOYSA-N
